Date,close,realizedcap,miner_revenue_total,miner_fees_percent,nupl,relative_unrealised_profit,relative_unrealised_loss,net_flow_vol,transaction_rate,total_transaction,in_house_exchange_volume,mvrv_z_score,exchange_net_positions_change,SPY
2015-09-08 00:00:00+00:00,1.25476970846973,176098726.517666,25899.129926302,0.00040078300000000004,-1.01174847799775,0.0018925910223460002,1.0136410690201,60872.00001177191,0.064942129629629,5611,0.0,-1.6067964159946801,3899770.1539230943,197.42999267578125
2015-09-09 00:00:00+00:00,1.2132859286629891,175164921.939245,26441.246851069,0.00037216900000000005,-1.05982957592251,0.0013744823848750001,1.06120405830738,944632.2611671598,0.06480324074074001,5599,1661.97895,-1.6463425085486398,4141492.787108066,194.7899932861328
2015-09-10 00:00:00+00:00,1.162838569211094,174430351.84556,26452.144557171,0.000299628,-1.14809699242423,0.00097663947206,1.14907363189629,8280.211801265403,0.06170138888888801,5331,0.0,-1.72818079390627,3876003.6862681434,195.85000610351562
2015-09-11 00:00:00+00:00,0.9795247819820341,174317363.099889,27247.470478153,0.00032578200000000005,-1.54562663904183,0.0004999245840910001,1.54612656362592,-81304.98417403802,0.07472222222222201,6456,100000.0,-1.9898129896560501,3574836.8271427625,196.74000549316406
2015-09-14 00:00:00+00:00,0.8712654853528721,173878565.706837,25598.026548419,0.000386809,-1.85266047778166,0.0002978842739,1.8529583620555599,30025.297530570104,0.06446759259259201,5570,0.0,-2.14849250748562,1955660.4450041,196.00999450683594
2015-09-15 00:00:00+00:00,0.9425975714729811,173606163.913751,25623.739497145,0.000328875,-1.61849587263509,0.0005742657586470001,1.61907013839373,14146.065056638996,0.06256944444444401,5406,2011.97895,-2.04111646767019,1477836.6422859374,198.4600067138672
2015-09-16 00:00:00+00:00,0.9015880746004951,173373563.048682,26333.271617078,0.000575189,-1.7340232265989401,0.000353608600303,1.73437683519925,39819.836094615006,0.067893518518518,5866,0.0,-2.0999155800637,1434172.4225358265,200.17999267578125
2015-09-17 00:00:00+00:00,0.881648097422501,173294448.036764,25444.181523791,0.00033628600000000004,-1.79330863893748,0.00032300318144700004,1.79363164211893,-7958.846053217407,0.062094907407407,5365,50000.0,-2.12767574967484,1224711.1443823297,199.72999572753906
2015-09-18 00:00:00+00:00,0.8551540039123371,173142571.183588,25906.053571066,0.000456836,-1.87531523767388,0.00027013082412800005,1.875585368498,38028.066985432306,0.066921296296296,5782,2097.97895,-2.16291704395416,1343477.346220472,195.4499969482422
2015-09-21 00:00:00+00:00,0.9372445985075031,173020707.827466,26662.055741941,0.000381844,-1.61924262798451,0.0011085828837150001,1.6203512108682299,42434.50311038861,0.07295138888888801,6303,2487.97895,-2.05437430785184,1448914.487988051,196.4600067138672
2015-09-22 00:00:00+00:00,0.898426950676501,172930399.352697,26381.716645176,0.00043227500000000003,-1.73046041349117,0.0005417978585070001,1.7310022113496801,8479.628956339599,0.078726851851851,6802,0.0,-2.11435423292646,1496284.5850067548,193.91000366210938
2015-09-23 00:00:00+00:00,0.889489532726187,172916143.460315,27091.012767105,0.00039497500000000005,-1.75656724805366,0.00041466005677300006,1.7569819081104399,12561.060664632801,0.08537037037037001,7376,0.0,-2.13246945980691,1523368.325677026,193.60000610351562
2015-09-24 00:00:00+00:00,0.8107056911285601,172840368.016734,26396.100756267,0.000390948,-2.0200837136461,0.000184576561395,2.02026829020749,51063.814979259,0.071967592592592,6218,0.0,-2.24805188872068,1532180.7711261306,192.89999389648438
2015-09-25 00:00:00+00:00,0.740036796518696,172618982.879797,27013.274094916,0.00036413900000000003,-2.30278396356347,6.3864693949e-05,2.30284782825742,-5485.407507055992,0.067662037037037,5846,201031.97895,-2.34683373923543,1501309.3054569988,192.85000610351562
