Date,close,deltacap,realizedcap,miner_revenue_total,miner_fees_percent,nupl,relative_unrealised_profit,relative_unrealised_loss,net_flow_vol,transaction_rate,total_transaction,in_house_exchange_volume,rhodl_ratio,days_till_halving,stock_to_flow_ratio,stock_to_flow_deflection,puell_multiple,mvrv_z_score,exchange_net_positions_change,percent_utxos_in_profit,SPY
2011-09-16 00:00:00+00:00,4.811,17905931.618690018,44602963.7330011,5954.96831626,0.000834314474257,-0.269385923332283,0.45510156858667905,0.7244874919189631,0.0,0.070486111111111,6090,0.0,36405.8990935843,439,1.418818955228427,3.390708858428995,0.683785127727206,-0.29637959426745203,74.78909348,0.116161367750059,121.5199966430664
2011-09-19 00:00:00+00:00,5.462770769230769,17828545.96489356,44591073.5377209,6355.92737413,0.0009325742383590001,-0.110628006973913,0.46161800348749504,0.572246010461409,0.0,0.075532407407407,6526,0.0,9707.10794647028,436,1.452215227664831,3.79678087308458,0.7820184281202851,-0.13395217556754,38.196675479999996,0.148359775969401,120.30999755859375
2011-09-20 00:00:00+00:00,6.114797272727272,17828352.697327036,44629129.0884198,7006.56952256,0.000937623260405,0.001171678884832,0.47173110745697,0.47055942857213806,0.0,0.092650462962962,8005,0.0,9061.30664034603,435,1.462379742648239,4.181401789424351,0.9813525888432211,0.002285203078593,36.37767548,0.171815031775875,120.16999816894531
2011-09-21 00:00:00+00:00,5.6609356250000005,17830932.20750788,44667046.3572497,7305.17605015,0.000708545572956,-0.07269593290442,0.461405404306691,0.5341013372111111,-2.3592,0.08724537037037,7538,1.09710871,9019.7484402723,434,1.470040673944665,3.8508700645742033,0.9934756219323061,-0.100490547896339,34.489883739999996,0.15313683965105201,116.62999725341797
2011-09-22 00:00:00+00:00,5.473564,17764139.86957112,44631672.9150985,7403.78408626,0.0005111016496310001,-0.12161032771065101,0.45813289968115906,0.57974322739181,8.02,0.069340277777777,5991,0.0,8904.86743581298,433,1.47781440013807,3.706121688547828,0.956951478953408,-0.13990638481053902,28.358883739999996,0.142457285801211,112.86000061035156
2011-09-23 00:00:00+00:00,5.557576363636364,17739322.36045298,44638462.4545438,6654.229413,0.0006355977134980001,-0.09504392539627501,0.458774536503454,0.553818461899729,0.0,0.07170138888888801,6195,0.0,9310.97162847539,432,1.490794457279321,3.727929317485428,0.8627783465405391,-0.12067467017216502,28.358883739999996,0.15712832136672902,113.54000091552734
2011-09-26 00:00:00+00:00,4.86916,17434961.955129165,44417592.1920273,6702.94068583,0.00043871577682500005,-0.24376221770317402,0.45011908508306203,0.693881302786236,21.45461934,0.06371527777777701,5505,0.0,10082.0025241771,429,1.5255092309714722,3.191825982527309,0.790363050456495,-0.26750692412730803,82.75450307999999,0.11879323356434901,116.23999786376953
2011-09-27 00:00:00+00:00,4.709366666666667,17409660.256050393,44412753.8577638,6654.67819858,0.0007029939600980001,-0.22708883728845,0.45023196194972204,0.677320799238171,-21.454545,0.06907407407407401,5968,0.011574560000000001,9872.21003087866,428,1.538528100250754,3.060955900577391,0.757190191312986,-0.30291754650220404,61.299958079999996,0.12813854663899402,117.54000091552734
2011-09-28 00:00:00+00:00,4.7093475,17385923.70103954,44408127.7875148,7354.379026,0.0005954311009150001,-0.261377334644386,0.448217321328149,0.709594655972535,0.0,0.06793981481481401,5870,0.0,7809.51262352769,427,1.549737088787933,3.03880415205345,0.818458761405893,-0.301789630839262,52.84343634,0.11132704001896102,115.13999938964844
2011-09-29 00:00:00+00:00,4.7846224999999984,17374347.231356166,44414347.3491481,6253.40420567,0.000544376400123,-0.26524634459747404,0.447669779567319,0.7129161241647941,3.01,0.06324074074074,5464,0.0,7385.36631962084,426,1.558011923887746,3.071390967316356,0.6848406034927681,-0.28376168712826805,55.85343634,0.11216366827920601,116.05000305175781
