Date,close,realizedcap,transaction_rate,total_transaction,mvrv_z_score,puell-multiple,SPY
2014-05-19 00:00:00+00:00,10.2112,432056219.35006,0.10994212962962902,9499,-0.769811693820422,0.9958008634497221,188.74000549316406
2014-05-20 00:00:00+00:00,10.6359,431283858.328921,0.079074074074074,6832,-0.69775767276337,0.9929259640996451,187.5500030517578
2014-05-21 00:00:00+00:00,10.522625,431191866.579975,0.09380787037037001,8105,-0.71336974476053,0.915356110897085,189.1300048828125
2014-05-22 00:00:00+00:00,10.663394798684216,431932157.094462,0.10168981481481401,8786,-0.6937751190111321,0.9784192361300881,189.58999633789062
2014-05-23 00:00:00+00:00,11.133969230769226,432522162.725798,0.088032407407407,7606,-0.62175717480891,0.9983159304483571,190.35000610351562
2014-05-27 00:00:00+00:00,11.2495,432514484.138653,0.06663194444444401,5757,-0.595403563227321,1.13604839252271,191.52000427246094
2014-05-28 00:00:00+00:00,11.1,433107238.457763,0.08322916666666601,7191,-0.620381559043378,0.9680834241587111,191.3800048828125
2014-05-29 00:00:00+00:00,10.79075,433389571.82218,0.066423611111111,5739,-0.66851140278554,1.13708239728378,192.3699951171875
2014-05-30 00:00:00+00:00,11.5,433511062.977333,0.07699074074074,6652,-0.5556107345248611,1.13095451560369,192.67999267578125
2014-06-02 00:00:00+00:00,11.5655,434834458.415532,0.080405092592592,6947,-0.5467939021169971,1.04423926459377,192.89999389648438
2014-06-03 00:00:00+00:00,11.662,435030608.013783,0.07290509259259201,6299,-0.530455171261472,1.18780006137331,192.8000030517578
2014-06-04 00:00:00+00:00,11.1585,434984729.196842,0.076076388888888,6573,-0.607657228219438,1.13566462067349,193.19000244140625
2014-06-05 00:00:00+00:00,11.395,435299799.768525,0.071840277777777,6207,-0.5786493046544491,1.03217320018362,194.4499969482422
2014-06-06 00:00:00+00:00,11.033500000000002,435472276.204755,0.061145833333333004,5283,-0.626274445371726,1.09078659399116,195.3800048828125
2014-06-09 00:00:00+00:00,11.08981,436229822.762052,0.054675925925925004,4724,-0.6155718315363891,1.13745345765408,195.5800018310547
2014-06-10 00:00:00+00:00,10.930699999999998,436026090.334864,0.05611111111111101,4848,-0.637942897505506,0.9894737787469321,195.60000610351562
2014-06-11 00:00:00+00:00,10.768706249999996,435791705.483679,0.050821759259259004,4391,-0.660844148482138,0.8765260125871671,194.9199981689453
2014-06-12 00:00:00+00:00,10.027733333333334,435659118.127994,0.05320601851851801,4597,-0.7764910917181731,0.876042407482976,193.5399932861328
2014-06-13 00:00:00+00:00,10.178008333333333,435155126.815597,0.04981481481481401,4304,-0.7483268053018141,0.86389906162428,194.1300048828125
2014-06-16 00:00:00+00:00,9.741235000000001,434621514.343663,0.055416666666666003,4788,-0.8102556586309531,0.92000524175186,194.2899932861328
2014-06-17 00:00:00+00:00,9.519534,434671899.794785,0.053981481481481006,4664,-0.844485672148496,0.9055768547112311,194.8300018310547
2014-06-18 00:00:00+00:00,9.53144,433989754.88256,0.053344907407407,4609,-0.837300707173218,0.9424270588926461,196.25999450683594
2014-06-19 00:00:00+00:00,9.89112063302622,434216565.836249,0.06724537037037001,5810,-0.7791173146775261,1.02280840727415,196.47999572753906
2014-06-20 00:00:00+00:00,9.8233,434426076.186659,0.058784722222222,5079,-0.7895505144906061,0.9283490713283171,195.94000244140625
2014-06-23 00:00:00+00:00,9.609985714285713,434516539.95293,0.04730324074074,4087,-0.81996765131171,0.8971085286007251,195.8800048828125
2014-06-24 00:00:00+00:00,9.500242307692307,434520635.068083,0.051377314814814,4439,-0.83623257899207,0.8656905349571,194.6999969482422
2014-06-25 00:00:00+00:00,9.095,434283785.764697,0.046689814814814004,4034,-0.8989453428545781,0.8649688697102681,195.5800018310547
2014-06-26 00:00:00+00:00,8.986723333333332,433910388.724806,0.048101851851851,4156,-0.91311116632723,0.8146730783739811,195.44000244140625
2014-06-27 00:00:00+00:00,9.20225,433938726.291051,0.049907407407407005,4312,-0.8769652902415591,0.877054506890755,195.82000732421875
2014-06-30 00:00:00+00:00,8.928003103393971,433677493.257465,0.059861111111111004,5172,-0.9159869444691281,0.817368061605205,195.72000122070312
2014-07-01 00:00:00+00:00,7.760685657574282,433073647.738344,0.055891203703703006,4829,-1.07106425492994,0.806127173852611,197.02999877929688
2014-07-02 00:00:00+00:00,8.182749999999999,429410987.868344,0.064317129629629,5557,-1.01161111105748,0.7535186041203661,197.22999572753906
2014-07-03 00:00:00+00:00,7.91,429182959.311151,0.050671296296296006,4378,-1.05377925763067,0.7604899021167421,198.1999969482422
2014-07-07 00:00:00+00:00,7.5838714285714275,426935706.827575,0.05708333333333301,4932,-1.0911237122451,0.7104148827422261,197.50999450683594
2014-07-08 00:00:00+00:00,7.688661232351098,426992113.346523,0.050590277777777005,4371,-1.07317215021498,0.796154798209393,196.24000549316406
2014-07-09 00:00:00+00:00,7.7046600000000005,426858983.917795,0.049733796296296005,4297,-1.05489567269397,0.7185061145258591,197.1199951171875
